date_id,date,day_name,day_number,week_number,month_name,month_number,quarter,year,is_weekend,fiscal_year,year_month
75,2018-03-16,Friday,16,11,March,3,1,2018,False,2018,2018-03
76,2018-03-17,Saturday,17,11,March,3,1,2018,True,2018,2018-03
77,2018-03-18,Sunday,18,11,March,3,1,2018,True,2018,2018-03
78,2018-03-19,Monday,19,12,March,3,1,2018,False,2018,2018-03
79,2018-03-20,Tuesday,20,12,March,3,1,2018,False,2018,2018-03
80,2018-03-21,Wednesday,21,12,March,3,1,2018,False,2018,2018-03
81,2018-03-22,Thursday,22,12,March,3,1,2018,False,2018,2018-03
82,2018-03-23,Friday,23,12,March,3,1,2018,False,2018,2018-03
83,2018-03-24,Saturday,24,12,March,3,1,2018,True,2018,2018-03
84,2018-03-25,Sunday,25,12,March,3,1,2018,True,2018,2018-03
85,2018-03-26,Monday,26,13,March,3,1,2018,False,2018,2018-03
86,2018-03-27,Tuesday,27,13,March,3,1,2018,False,2018,2018-03
87,2018-03-28,Wednesday,28,13,March,3,1,2018,False,2018,2018-03
88,2018-03-29,Thursday,29,13,March,3,1,2018,False,2018,2018-03
89,2018-03-30,Friday,30,13,March,3,1,2018,False,2018,2018-03
90,2018-03-31,Saturday,31,13,March,3,1,2018,True,2018,2018-03
91,2018-04-01,Sunday,1,13,April,4,2,2018,True,2019,2018-04
92,2018-04-02,Monday,2,14,April,4,2,2018,False,2019,2018-04
93,2018-04-03,Tuesday,3,14,April,4,2,2018,False,2019,2018-04
94,2018-04-04,Wednesday,4,14,April,4,2,2018,False,2019,2018-04
95,2018-04-05,Thursday,5,14,April,4,2,2018,False,2019,2018-04
96,2018-04-06,Friday,6,14,April,4,2,2018,False,2019,2018-04
97,2018-04-07,Saturday,7,14,April,4,2,2018,True,2019,2018-04
98,2018-04-08,Sunday,8,14,April,4,2,2018,True,2019,2018-04
99,2018-04-09,Monday,9,15,April,4,2,2018,False,2019,2018-04
100,2018-04-10,Tuesday,10,15,April,4,2,2018,False,2019,2018-04
101,2018-04-11,Wednesday,11,15,April,4,2,2018,False,2019,2018-04
102,2018-04-12,Thursday,12,15,April,4,2,2018,False,2019,2018-04
103,2018-04-13,Friday,13,15,April,4,2,2018,False,2019,2018-04
104,2018-04-14,Saturday,14,15,April,4,2,2018,True,2019,2018-04
105,2018-04-15,Sunday,15,15,April,4,2,2018,True,2019,2018-04
106,2018-04-16,Monday,16,16,April,4,2,2018,False,2019,2018-04
107,2018-04-17,Tuesday,17,16,April,4,2,2018,False,2019,2018-04
108,2018-04-18,Wednesday,18,16,April,4,2,2018,False,2019,2018-04
109,2018-04-19,Thursday,19,16,April,4,2,2018,False,2019,2018-04
110,2018-04-20,Friday,20,16,April,4,2,2018,False,2019,2018-04
111,2018-04-21,Saturday,21,16,April,4,2,2018,True,2019,2018-04
112,2018-04-22,Sunday,22,16,April,4,2,2018,True,2019,2018-04
113,2018-04-23,Monday,23,17,April,4,2,2018,False,2019,2018-04
114,2018-04-24,Tuesday,24,17,April,4,2,2018,False,2019,2018-04
115,2018-04-25,Wednesday,25,17,April,4,2,2018,False,2019,2018-04
116,2018-04-26,Thursday,26,17,April,4,2,2018,False,2019,2018-04
117,2018-04-27,Friday,27,17,April,4,2,2018,False,2019,2018-04
118,2018-04-28,Saturday,28,17,April,4,2,2018,True,2019,2018-04
119,2018-04-29,Sunday,29,17,April,4,2,2018,True,2019,2018-04
120,2018-04-30,Monday,30,18,April,4,2,2018,False,2019,2018-04
121,2018-05-01,Tuesday,1,18,May,5,2,2018,False,2019,2018-05
122,2018-05-02,Wednesday,2,18,May,5,2,2018,False,2019,2018-05
123,2018-05-03,Thursday,3,18,May,5,2,2018,False,2019,2018-05
124,2018-05-04,Friday,4,18,May,5,2,2018,False,2019,2018-05
125,2018-05-05,Saturday,5,18,May,5,2,2018,True,2019,2018-05
126,2018-05-06,Sunday,6,18,May,5,2,2018,True,2019,2018-05
127,2018-05-07,Monday,7,19,May,5,2,2018,False,2019,2018-05
128,2018-05-08,Tuesday,8,19,May,5,2,2018,False,2019,2018-05
129,2018-05-09,Wednesday,9,19,May,5,2,2018,False,2019,2018-05
130,2018-05-10,Thursday,10,19,May,5,2,2018,False,2019,2018-05
131,2018-05-11,Friday,11,19,May,5,2,2018,False,2019,2018-05
132,2018-05-12,Saturday,12,19,May,5,2,2018,True,2019,2018-05
133,2018-05-13,Sunday,13,19,May,5,2,2018,True,2019,2018-05
134,2018-05-14,Monday,14,20,May,5,2,2018,False,2019,2018-05
135,2018-05-15,Tuesday,15,20,May,5,2,2018,False,2019,2018-05
136,2018-05-16,Wednesday,16,20,May,5,2,2018,False,2019,2018-05
137,2018-05-17,Thursday,17,20,May,5,2,2018,False,2019,2018-05
138,2018-05-18,Friday,18,20,May,5,2,2018,False,2019,2018-05
139,2018-05-19,Saturday,19,20,May,5,2,2018,True,2019,2018-05
140,2018-05-20,Sunday,20,20,May,5,2,2018,True,2019,2018-05
141,2018-05-21,Monday,21,21,May,5,2,2018,False,2019,2018-05
142,2018-05-22,Tuesday,22,21,May,5,2,2018,False,2019,2018-05
143,2018-05-23,Wednesday,23,21,May,5,2,2018,False,2019,2018-05
144,2018-05-24,Thursday,24,21,May,5,2,2018,False,2019,2018-05
145,2018-05-25,Friday,25,21,May,5,2,2018,False,2019,2018-05
146,2018-05-26,Saturday,26,21,May,5,2,2018,True,2019,2018-05
147,2018-05-27,Sunday,27,21,May,5,2,2018,True,2019,2018-05
148,2018-05-28,Monday,28,22,May,5,2,2018,False,2019,2018-05
149,2018-05-29,Tuesday,29,22,May,5,2,2018,False,2019,2018-05
150,2018-05-30,Wednesday,30,22,May,5,2,2018,False,2019,2018-05
151,2018-05-31,Thursday,31,22,May,5,2,2018,False,2019,2018-05
152,2018-06-01,Friday,1,22,June,6,2,2018,False,2019,2018-06
153,2018-06-02,Saturday,2,22,June,6,2,2018,True,2019,2018-06
154,2018-06-03,Sunday,3,22,June,6,2,2018,True,2019,2018-06
155,2018-06-04,Monday,4,23,June,6,2,2018,False,2019,2018-06
156,2018-06-05,Tuesday,5,23,June,6,2,2018,False,2019,2018-06
157,2018-06-06,Wednesday,6,23,June,6,2,2018,False,2019,2018-06
158,2018-06-07,Thursday,7,23,June,6,2,2018,False,2019,2018-06
159,2018-06-08,Friday,8,23,June,6,2,2018,False,2019,2018-06
160,2018-06-09,Saturday,9,23,June,6,2,2018,True,2019,2018-06
161,2018-06-10,Sunday,10,23,June,6,2,2018,True,2019,2018-06
162,2018-06-11,Monday,11,24,June,6,2,2018,False,2019,2018-06
163,2018-06-12,Tuesday,12,24,June,6,2,2018,False,2019,2018-06
164,2018-06-13,Wednesday,13,24,June,6,2,2018,False,2019,2018-06
165,2018-06-14,Thursday,14,24,June,6,2,2018,False,2019,2018-06
166,2018-06-15,Friday,15,24,June,6,2,2018,False,2019,2018-06
167,2018-06-16,Saturday,16,24,June,6,2,2018,True,2019,2018-06
168,2018-06-17,Sunday,17,24,June,6,2,2018,True,2019,2018-06
169,2018-06-18,Monday,18,25,June,6,2,2018,False,2019,2018-06
170,2018-06-19,Tuesday,19,25,June,6,2,2018,False,2019,2018-06
171,2018-06-20,Wednesday,20,25,June,6,2,2018,False,2019,2018-06
172,2018-06-21,Thursday,21,25,June,6,2,2018,False,2019,2018-06
173,2018-06-22,Friday,22,25,June,6,2,2018,False,2019,2018-06
174,2018-06-23,Saturday,23,25,June,6,2,2018,True,2019,2018-06
175,2018-06-24,Sunday,24,25,June,6,2,2018,True,2019,2018-06
176,2018-06-25,Monday,25,26,June,6,2,2018,False,2019,2018-06
177,2018-06-26,Tuesday,26,26,June,6,2,2018,False,2019,2018-06
178,2018-06-27,Wednesday,27,26,June,6,2,2018,False,2019,2018-06
179,2018-06-28,Thursday,28,26,June,6,2,2018,False,2019,2018-06
180,2018-06-29,Friday,29,26,June,6,2,2018,False,2019,2018-06
181,2018-06-30,Saturday,30,26,June,6,2,2018,True,2019,2018-06
182,2018-07-01,Sunday,1,26,July,7,3,2018,True,2019,2018-07
183,2018-07-02,Monday,2,27,July,7,3,2018,False,2019,2018-07
184,2018-07-03,Tuesday,3,27,July,7,3,2018,False,2019,2018-07
185,2018-07-04,Wednesday,4,27,July,7,3,2018,False,2019,2018-07
186,2018-07-05,Thursday,5,27,July,7,3,2018,False,2019,2018-07
187,2018-07-06,Friday,6,27,July,7,3,2018,False,2019,2018-07
188,2018-07-07,Saturday,7,27,July,7,3,2018,True,2019,2018-07
189,2018-07-08,Sunday,8,27,July,7,3,2018,True,2019,2018-07
190,2018-07-09,Monday,9,28,July,7,3,2018,False,2019,2018-07
191,2018-07-10,Tuesday,10,28,July,7,3,2018,False,2019,2018-07
192,2018-07-11,Wednesday,11,28,July,7,3,2018,False,2019,2018-07
193,2018-07-12,Thursday,12,28,July,7,3,2018,False,2019,2018-07
194,2018-07-13,Friday,13,28,July,7,3,2018,False,2019,2018-07
195,2018-07-14,Saturday,14,28,July,7,3,2018,True,2019,2018-07
196,2018-07-15,Sunday,15,28,July,7,3,2018,True,2019,2018-07
197,2018-07-16,Monday,16,29,July,7,3,2018,False,2019,2018-07
198,2018-07-17,Tuesday,17,29,July,7,3,2018,False,2019,2018-07
199,2018-07-18,Wednesday,18,29,July,7,3,2018,False,2019,2018-07
200,2018-07-19,Thursday,19,29,July,7,3,2018,False,2019,2018-07
201,2018-07-20,Friday,20,29,July,7,3,2018,False,2019,2018-07
202,2018-07-21,Saturday,21,29,July,7,3,2018,True,2019,2018-07
203,2018-07-22,Sunday,22,29,July,7,3,2018,True,2019,2018-07
204,2018-07-23,Monday,23,30,July,7,3,2018,False,2019,2018-07
205,2018-07-24,Tuesday,24,30,July,7,3,2018,False,2019,2018-07
206,2018-07-25,Wednesday,25,30,July,7,3,2018,False,2019,2018-07
207,2018-07-26,Thursday,26,30,July,7,3,2018,False,2019,2018-07
208,2018-07-27,Friday,27,30,July,7,3,2018,False,2019,2018-07
209,2018-07-28,Saturday,28,30,July,7,3,2018,True,2019,2018-07
210,2018-07-29,Sunday,29,30,July,7,3,2018,True,2019,2018-07
211,2018-07-30,Monday,30,31,July,7,3,2018,False,2019,2018-07
212,2018-07-31,Tuesday,31,31,July,7,3,2018,False,2019,2018-07
213,2018-08-01,Wednesday,1,31,August,8,3,2018,False,2019,2018-08
214,2018-08-02,Thursday,2,31,August,8,3,2018,False,2019,2018-08
215,2018-08-03,Friday,3,31,August,8,3,2018,False,2019,2018-08
216,2018-08-04,Saturday,4,31,August,8,3,2018,True,2019,2018-08
217,2018-08-05,Sunday,5,31,August,8,3,2018,True,2019,2018-08
218,2018-08-06,Monday,6,32,August,8,3,2018,False,2019,2018-08
219,2018-08-07,Tuesday,7,32,August,8,3,2018,False,2019,2018-08
220,2018-08-08,Wednesday,8,32,August,8,3,2018,False,2019,2018-08
221,2018-08-09,Thursday,9,32,August,8,3,2018,False,2019,2018-08
222,2018-08-10,Friday,10,32,August,8,3,2018,False,2019,2018-08
223,2018-08-11,Saturday,11,32,August,8,3,2018,True,2019,2018-08
224,2018-08-12,Sunday,12,32,August,8,3,2018,True,2019,2018-08
225,2018-08-13,Monday,13,33,August,8,3,2018,False,2019,2018-08
226,2018-08-14,Tuesday,14,33,August,8,3,2018,False,2019,2018-08
227,2018-08-15,Wednesday,15,33,August,8,3,2018,False,2019,2018-08
228,2018-08-16,Thursday,16,33,August,8,3,2018,False,2019,2018-08
229,2018-08-17,Friday,17,33,August,8,3,2018,False,2019,2018-08
230,2018-08-18,Saturday,18,33,August,8,3,2018,True,2019,2018-08
231,2018-08-19,Sunday,19,33,August,8,3,2018,True,2019,2018-08
232,2018-08-20,Monday,20,34,August,8,3,2018,False,2019,2018-08
233,2018-08-21,Tuesday,21,34,August,8,3,2018,False,2019,2018-08
234,2018-08-22,Wednesday,22,34,August,8,3,2018,False,2019,2018-08
235,2018-08-23,Thursday,23,34,August,8,3,2018,False,2019,2018-08
236,2018-08-24,Friday,24,34,August,8,3,2018,False,2019,2018-08
237,2018-08-25,Saturday,25,34,August,8,3,2018,True,2019,2018-08
238,2018-08-26,Sunday,26,34,August,8,3,2018,True,2019,2018-08
239,2018-08-27,Monday,27,35,August,8,3,2018,False,2019,2018-08
240,2018-08-28,Tuesday,28,35,August,8,3,2018,False,2019,2018-08
241,2018-08-29,Wednesday,29,35,August,8,3,2018,False,2019,2018-08
242,2018-08-30,Thursday,30,35,August,8,3,2018,False,2019,2018-08
243,2018-08-31,Friday,31,35,August,8,3,2018,False,2019,2018-08
244,2018-09-01,Saturday,1,35,September,9,3,2018,True,2019,2018-09
245,2018-09-02,Sunday,2,35,September,9,3,2018,True,2019,2018-09
246,2018-09-03,Monday,3,36,September,9,3,2018,False,2019,2018-09
247,2018-09-04,Tuesday,4,36,September,9,3,2018,False,2019,2018-09
248,2018-09-05,Wednesday,5,36,September,9,3,2018,False,2019,2018-09
249,2018-09-06,Thursday,6,36,September,9,3,2018,False,2019,2018-09
250,2018-09-07,Friday,7,36,September,9,3,2018,False,2019,2018-09
251,2018-09-08,Saturday,8,36,September,9,3,2018,True,2019,2018-09
252,2018-09-09,Sunday,9,36,September,9,3,2018,True,2019,2018-09
253,2018-09-10,Monday,10,37,September,9,3,2018,False,2019,2018-09
254,2018-09-11,Tuesday,11,37,September,9,3,2018,False,2019,2018-09
255,2018-09-12,Wednesday,12,37,September,9,3,2018,False,2019,2018-09
256,2018-09-13,Thursday,13,37,September,9,3,2018,False,2019,2018-09
257,2018-09-14,Friday,14,37,September,9,3,2018,False,2019,2018-09
258,2018-09-15,Saturday,15,37,September,9,3,2018,True,2019,2018-09
259,2018-09-16,Sunday,16,37,September,9,3,2018,True,2019,2018-09
260,2018-09-17,Monday,17,38,September,9,3,2018,False,2019,2018-09
261,2018-09-18,Tuesday,18,38,September,9,3,2018,False,2019,2018-09
262,2018-09-19,Wednesday,19,38,September,9,3,2018,False,2019,2018-09
263,2018-09-20,Thursday,20,38,September,9,3,2018,False,2019,2018-09
264,2018-09-21,Friday,21,38,September,9,3,2018,False,2019,2018-09
265,2018-09-22,Saturday,22,38,September,9,3,2018,True,2019,2018-09
266,2018-09-23,Sunday,23,38,September,9,3,2018,True,2019,2018-09
267,2018-09-24,Monday,24,39,September,9,3,2018,False,2019,2018-09
268,2018-09-25,Tuesday,25,39,September,9,3,2018,False,2019,2018-09
269,2018-09-26,Wednesday,26,39,September,9,3,2018,False,2019,2018-09
270,2018-09-27,Thursday,27,39,September,9,3,2018,False,2019,2018-09
271,2018-09-28,Friday,28,39,September,9,3,2018,False,2019,2018-09
272,2018-09-29,Saturday,29,39,September,9,3,2018,True,2019,2018-09
273,2018-09-30,Sunday,30,39,September,9,3,2018,True,2019,2018-09
274,2018-10-01,Monday,1,40,October,10,4,2018,False,2019,2018-10
275,2018-10-02,Tuesday,2,40,October,10,4,2018,False,2019,2018-10
276,2018-10-03,Wednesday,3,40,October,10,4,2018,False,2019,2018-10
277,2018-10-04,Thursday,4,40,October,10,4,2018,False,2019,2018-10
278,2018-10-05,Friday,5,40,October,10,4,2018,False,2019,2018-10
279,2018-10-06,Saturday,6,40,October,10,4,2018,True,2019,2018-10
280,2018-10-07,Sunday,7,40,October,10,4,2018,True,2019,2018-10
281,2018-10-08,Monday,8,41,October,10,4,2018,False,2019,2018-10
282,2018-10-09,Tuesday,9,41,October,10,4,2018,False,2019,2018-10
283,2018-10-10,Wednesday,10,41,October,10,4,2018,False,2019,2018-10
284,2018-10-11,Thursday,11,41,October,10,4,2018,False,2019,2018-10
285,2018-10-12,Friday,12,41,October,10,4,2018,False,2019,2018-10
286,2018-10-13,Saturday,13,41,October,10,4,2018,True,2019,2018-10
287,2018-10-14,Sunday,14,41,October,10,4,2018,True,2019,2018-10
288,2018-10-15,Monday,15,42,October,10,4,2018,False,2019,2018-10
289,2018-10-16,Tuesday,16,42,October,10,4,2018,False,2019,2018-10
290,2018-10-17,Wednesday,17,42,October,10,4,2018,False,2019,2018-10
291,2018-10-18,Thursday,18,42,October,10,4,2018,False,2019,2018-10
292,2018-10-19,Friday,19,42,October,10,4,2018,False,2019,2018-10
293,2018-10-20,Saturday,20,42,October,10,4,2018,True,2019,2018-10
294,2018-10-21,Sunday,21,42,October,10,4,2018,True,2019,2018-10
295,2018-10-22,Monday,22,43,October,10,4,2018,False,2019,2018-10
296,2018-10-23,Tuesday,23,43,October,10,4,2018,False,2019,2018-10
297,2018-10-24,Wednesday,24,43,October,10,4,2018,False,2019,2018-10
298,2018-10-25,Thursday,25,43,October,10,4,2018,False,2019,2018-10
299,2018-10-26,Friday,26,43,October,10,4,2018,False,2019,2018-10
300,2018-10-27,Saturday,27,43,October,10,4,2018,True,2019,2018-10
301,2018-10-28,Sunday,28,43,October,10,4,2018,True,2019,2018-10
302,2018-10-29,Monday,29,44,October,10,4,2018,False,2019,2018-10
303,2018-10-30,Tuesday,30,44,October,10,4,2018,False,2019,2018-10
304,2018-10-31,Wednesday,31,44,October,10,4,2018,False,2019,2018-10
305,2018-11-01,Thursday,1,44,November,11,4,2018,False,2019,2018-11
306,2018-11-02,Friday,2,44,November,11,4,2018,False,2019,2018-11
307,2018-11-03,Saturday,3,44,November,11,4,2018,True,2019,2018-11
308,2018-11-04,Sunday,4,44,November,11,4,2018,True,2019,2018-11
309,2018-11-05,Monday,5,45,November,11,4,2018,False,2019,2018-11
310,2018-11-06,Tuesday,6,45,November,11,4,2018,False,2019,2018-11
311,2018-11-07,Wednesday,7,45,November,11,4,2018,False,2019,2018-11
312,2018-11-08,Thursday,8,45,November,11,4,2018,False,2019,2018-11
313,2018-11-09,Friday,9,45,November,11,4,2018,False,2019,2018-11
314,2018-11-10,Saturday,10,45,November,11,4,2018,True,2019,2018-11
315,2018-11-11,Sunday,11,45,November,11,4,2018,True,2019,2018-11
316,2018-11-12,Monday,12,46,November,11,4,2018,False,2019,2018-11
317,2018-11-13,Tuesday,13,46,November,11,4,2018,False,2019,2018-11
318,2018-11-14,Wednesday,14,46,November,11,4,2018,False,2019,2018-11
319,2018-11-15,Thursday,15,46,November,11,4,2018,False,2019,2018-11
320,2018-11-16,Friday,16,46,November,11,4,2018,False,2019,2018-11
321,2018-11-17,Saturday,17,46,November,11,4,2018,True,2019,2018-11
322,2018-11-18,Sunday,18,46,November,11,4,2018,True,2019,2018-11
323,2018-11-19,Monday,19,47,November,11,4,2018,False,2019,2018-11
324,2018-11-20,Tuesday,20,47,November,11,4,2018,False,2019,2018-11
325,2018-11-21,Wednesday,21,47,November,11,4,2018,False,2019,2018-11
326,2018-11-22,Thursday,22,47,November,11,4,2018,False,2019,2018-11
327,2018-11-23,Friday,23,47,November,11,4,2018,False,2019,2018-11
328,2018-11-24,Saturday,24,47,November,11,4,2018,True,2019,2018-11
329,2018-11-25,Sunday,25,47,November,11,4,2018,True,2019,2018-11
330,2018-11-26,Monday,26,48,November,11,4,2018,False,2019,2018-11
331,2018-11-27,Tuesday,27,48,November,11,4,2018,False,2019,2018-11
332,2018-11-28,Wednesday,28,48,November,11,4,2018,False,2019,2018-11
333,2018-11-29,Thursday,29,48,November,11,4,2018,False,2019,2018-11
334,2018-11-30,Friday,30,48,November,11,4,2018,False,2019,2018-11
335,2018-12-01,Saturday,1,48,December,12,4,2018,True,2019,2018-12
336,2018-12-02,Sunday,2,48,December,12,4,2018,True,2019,2018-12
337,2018-12-03,Monday,3,49,December,12,4,2018,False,2019,2018-12
338,2018-12-04,Tuesday,4,49,December,12,4,2018,False,2019,2018-12
339,2018-12-05,Wednesday,5,49,December,12,4,2018,False,2019,2018-12
340,2018-12-06,Thursday,6,49,December,12,4,2018,False,2019,2018-12
341,2018-12-07,Friday,7,49,December,12,4,2018,False,2019,2018-12
342,2018-12-08,Saturday,8,49,December,12,4,2018,True,2019,2018-12
343,2018-12-09,Sunday,9,49,December,12,4,2018,True,2019,2018-12
344,2018-12-10,Monday,10,50,December,12,4,2018,False,2019,2018-12
345,2018-12-11,Tuesday,11,50,December,12,4,2018,False,2019,2018-12
346,2018-12-12,Wednesday,12,50,December,12,4,2018,False,2019,2018-12
347,2018-12-13,Thursday,13,50,December,12,4,2018,False,2019,2018-12
348,2018-12-14,Friday,14,50,December,12,4,2018,False,2019,2018-12
349,2018-12-15,Saturday,15,50,December,12,4,2018,True,2019,2018-12
350,2018-12-16,Sunday,16,50,December,12,4,2018,True,2019,2018-12
351,2018-12-17,Monday,17,51,December,12,4,2018,False,2019,2018-12
352,2018-12-18,Tuesday,18,51,December,12,4,2018,False,2019,2018-12
353,2018-12-19,Wednesday,19,51,December,12,4,2018,False,2019,2018-12
354,2018-12-20,Thursday,20,51,December,12,4,2018,False,2019,2018-12
355,2018-12-21,Friday,21,51,December,12,4,2018,False,2019,2018-12
356,2018-12-22,Saturday,22,51,December,12,4,2018,True,2019,2018-12
357,2018-12-23,Sunday,23,51,December,12,4,2018,True,2019,2018-12
358,2018-12-24,Monday,24,52,December,12,4,2018,False,2019,2018-12
359,2018-12-25,Tuesday,25,52,December,12,4,2018,False,2019,2018-12
360,2018-12-26,Wednesday,26,52,December,12,4,2018,False,2019,2018-12
361,2018-12-27,Thursday,27,52,December,12,4,2018,False,2019,2018-12
362,2018-12-28,Friday,28,52,December,12,4,2018,False,2019,2018-12
363,2018-12-29,Saturday,29,52,December,12,4,2018,True,2019,2018-12
364,2018-12-30,Sunday,30,52,December,12,4,2018,True,2019,2018-12
365,2018-12-31,Monday,31,1,December,12,4,2018,False,2019,2018-12
366,2019-01-01,Tuesday,1,1,January,1,1,2019,False,2019,2019-01
367,2019-01-02,Wednesday,2,1,January,1,1,2019,False,2019,2019-01
